word,freq
israeli settlers,27
european parliament,68
president nicolas,26
fighter jet,16
syrian president,28
george bush,30
miles away,11
north korean,208
afghan police,17
military aid,11
new president,16
russia china,37
plane crashes,18
rape murder,12
president hamid,12
cold war,50
end world,12
data retention,12
russian separatists,13
rape victim,38
worlds biggest,18
nuclear reactor,35
lockerbie bomber,12
million dollars,12
spy agencies,11
libya rebels,11
found alive,17
oil gas,27
malaysia airlines,22
pirate bay,118
five year,19
000 dead,22
former israeli,15
bad news,12
air pollution,40
israeli troops,33
two decades,25
european countries,25
spending cuts,11
acid attack,14
israeli prime,19
uk police,43
verge collapse,11
new rules,11
iraq afghanistan,17
new anti,20
central african,22
east coast,13
us official,11
saudi led,13
suicide bombers,40
us state,12
apartheid israel,11
top secret,25
china new,13
claims responsibility,13
us congress,15
20 000,51
neo nazi,47
world longest,12
oil spills,15
strait hormuz,12
ai weiwei,20
president hosni,17
second largest,19
stoned death,18
east ukraine,13
news corp,45
good news,25
internet surveillance,16
next year,42
freedom expression,25
without trial,14
un chief,17
korea warns,19
global economy,21
hillary clinton,31
people killed,77
food aid,22
israeli ambassador,20
real estate,15
basic income,16
ali khamenei,12
pacific partnership,30
nobel prize,41
hacking scandal,29
sao paulo,13
national security,46
rule law,15
church england,15
east china,13
gay men,22
warns russia,12
tel aviv,28
fighter jets,54
woman sentenced,12
says top,16
benjamin netanyahu,30
democratic republic,15
golan heights,15
video showing,14
drug gang,11
pm erdogan,11
metropolitan police,18
sanctions iran,11
man found,14
roman catholic,25
child porn,24
us drone,44
peace talks,37
london police,18
two state,18
federal government,14
gay rights,28
lower house,16
indian government,20
past decade,17
five days,12
marijuana legalization,13
stand trial,16
national park,28
life saving,14
evo morales,14
israeli air,16
opened fire,21
two days,31
return home,22
budget cuts,11
soviet union,28
arrest warrant,24
russia iran,11
mining company,14
high speed,42
last year,145
syria iraq,14
judge rules,16
china warns,16
said tuesday,59
president vladimir,66
150 000,21
solar energy,16
factory workers,12
gaza israeli,16
