word,freq
000,33
even,12
new,43
men,12
china,23
100,16
military,28
army,12
rights,18
president,28
arrested,13
stop,14
said,26
country,31
russia,16
mexico,15
european,11
human,13
right,15
old,17
deal,18
people,45
dead,11
palestinians,17
time,16
uk,37
afghanistan,11
france,16
three,11
man,16
years,26
killed,25
million,21
think,15
first,18
one,31
israeli,35
shot,11
prime,13
killing,12
many,11
anti,11
west,12
wants,11
former,13
pakistan,24
world,30
violence,13
al,13
children,14
saudi,11
two,23
found,11
iranian,17
plan,12
kill,16
death,19
foreign,13
church,12
us,47
un,19
video,16
south,16
face,16
national,13
nuclear,31
gaza,32
afghan,18
day,11
like,11
would,19
palestinian,19
must,12
could,20
law,11
bank,17
crimes,12
free,12
top,11
forces,16
germany,15
report,16
haiti,11
news,12
iraq,20
aid,11
war,50
says,28
water,13
today,16
taliban,12
year,29
british,24
weapons,11
minister,20
drug,15
soldiers,11
britain,12
since,12
chinese,12
iran,50
israel,72
court,19
help,11
american,13
oil,16
korea,24
government,48
used,11
blair,11
russian,22
israelis,11
attack,15
need,15
state,26
police,26
party,11
leader,14
north,23
