word,price
véronique,2120.0
renvoyer,1745.421052631579
2m93,4348.0
prise,999.2352941176471
carrière,973.0
beauregard,1557.5
164e,1926.0
exposé,2228.7454545454543
malheserbes,6600.0
bonduelle,3129.0
grandaubert,2700.0
795e,795.0
chaude,1791.5553278688524
prairies,812.0
iles,2185.0
regarder,1506.0
réalisation,1261.037037037037
commerçants,3149.266666666667
collège,1924.090909090909
églantine,1930.0
stroll,1890.0
chevet,2476.909090909091
1460e,1550.0
qaurtier,1541.5
définitives,4200.0
gervais,1339.4
halogène,900.0
esc,963.0
battante,1400.0
mains,3628.0694444444443
thiers,3793.0
garanti,2459.0
centre,1746.6818181818182
1150e,1100.0
building,4800.9047619047615
olive,915.0
forfaitaires,1933.3333333333333
evacuation,845.0
el,1430.0
doit,1035.4
plumet,865.0
penthouse,3050.0
assureur,856.0
contractuel,2270.7843137254904
modifié,1947.3333333333333
suédoise,5900.0
highly,7000.0
consommation,1485.5833333333333
close,3399.6
flandrin,3758.222222222222
boulets,1081.6923076923076
clostra,1177.0
maisonnette,1820.0
1055e,1055.0
clavelin,1504.4
7b,1687.0
pot,1457.5
pompidou,1586.2222222222222
descriptif,2351.3207547169814
réunies,417.0
2260e,2260.0
contrescarpe,1349.6
actes,1331.3793103448277
roulle,1867.5
18heures,750.0
volta,870.0
dieu,2000.0
1620e,1770.0
pixérécourt,994.0
ravlée,734.0
babylones,900.0
sgiv8396,1143.0
muret,930.0
651e,1284.0
consulter,2142.7916666666665
louvre,2203.0
maintenance,2400.0
450e,1100.3333333333333
neuves,1842.2962962962963
faubourg,2070.1132075471696
135m²,4194.666666666667
11èmec,1286.0
barbanègre,913.0
mulitiples,4698.0
créant,1800.0
contact,1822.2363636363636
washing,3630.0
kable,690.0
encastrée,3200.0
colombage,1370.0
280e,2031.3333333333333
accessibles,1160.0
marcadet,1144.6
1869e,2154.0
maridor,1290.0
argentin,1296.0
honoaraires,1270.0
conçues,3800.0
orves,1200.0
rollin,1207.72
coursive,2184.0
edimbourg,2650.0
27m²,1255.3333333333333
show,5800.0
comprend,1992.3554913294797
jassaud,1415.0
beige,4578.0
cardinet,1616.952380952381
universités,1294.0
marx,1065.5483870967741
2chambres,1940.0
2230e,1250.0
immocitiz,1150.0
effraction,1166.5
l11,858.6666666666666
lauzin,750.0
lieu,3594.6153846153848
poteau,888.2
destiné,1777.142857142857
intéressé,4229.0
90e,1125.75
barèmes,3016.6666666666665
aucun,2239.0
claude,1655.1904761904761
cadre,2368.181818181818
899ur,899.0
claridge,1923.0
administration,3700.0
fonctions,1690.0
parisian,3000.0
exigées,1493.5
jodelle,1350.0
amyot,900.0
1841e,1841.0
passage,1320.8367346938776
